[2026-06-08 15:09:07,043] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:09:07,045] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:09:12,810] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:09:12,812] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:09:17,069] [CEmergencyDetector] Emergency VLM model loaded.
[2026-06-08 15:09:17,069] [CEmergencyManager] EmergencyManager initialized.
[2026-06-08 15:09:17,071] [CControlCore] STATUS | source=MPEmergency | status=EMERGENCY_READY
[2026-06-08 15:09:18,515] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:09:18,517] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:09:24,314] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:09:24,316] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:09:30,055] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:09:30,057] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:09:35,807] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:09:35,809] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:09:38,965] [CControlCore] Process error: MP ERROR: process is not alive
[2026-06-08 15:09:38,965] [CEmergencyManager] Emergency state reset.
[2026-06-08 15:09:38,966] [CControlCore] STATUS | source=MPEmergency | status=EMERGENCY_STOPPED
[2026-06-08 15:09:38,967] [CControlCore] STATUS | source=MPTTS | status=TTS_STOPPED
[2026-06-08 15:09:38,968] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_STOPPED
[2026-06-08 15:09:38,970] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_TASK_STOPPED
[2026-06-08 15:09:39,167] [CMultiProcessBase] Process released: MPCamera
[2026-06-08 15:09:39,284] [CMultiProcessBase] Process released: MPSTT
[2026-06-08 15:09:39,286] MPTextToSpeech process routine terminated.
[2026-06-08 15:09:39,286] [CControlCore] STATUS | source=MPTTS | status=TTS_PROCESS_TERMINATED
[2026-06-08 15:09:39,385] [CMultiProcessBase] Process released: MPTTS
[2026-06-08 15:09:39,551] [CMultiProcessBase] Process released: MPLLM
[2026-06-08 15:09:39,553] [CEmergencyManager] Emergency state reset.
[2026-06-08 15:09:39,554] MPEmergency process routine terminated.
